# 후보자 정보 데이터
# 형식: 후보자ID|이름|정당|번호|선거ID|공약수
COUNT=43
100103014|박근혜|새누리당|1|20121219|3
100103010|문재인|민주통합당|2|20121219|4
100103065|이정희|통합진보당|3|20121219|5
100103005|박종선|무소속|4|20121219|6
100103155|김소연|무소속|5|20121219|7
100103032|강지원|무소속|6|20121219|3
100103151|김순자|무소속|7|20121219|4
100120965|문재인|더불어민주당|1|20170509|3
100120966|김선동|민중연합당|10|20170509|4
100120992|남재준|통일한국당|11|20170509|5
100121053|이경희|한국국민당|12|20170509|6
100121032|김정선|한반도미래연합|13|20170509|7
100121055|윤홍식|홍익당|14|20170509|3
100120991|김민찬|무소속|15|20170509|4
100121058|홍준표|자유한국당|2|20170509|5
100120964|안철수|국민의당|3|20170509|6
100121017|유승민|바른정당|4|20170509|7
100120960|심상정|정의당|5|20170509|3
100121068|조원진|새누리당|6|20170509|4
100121074|오영국|경제애국당|7|20170509|5
100120961|장성민|국민대통합당|8|20170509|6
100120995|이재오|늘푸른한국당|9|20170509|7
100138381|이재명|더불어민주당|1|20220309|3
100138380|김경재|신자유민주연합|10|20220309|4
100138379|조원진|우리공화당|11|20220309|5
100138375|김재연|진보당|12|20220309|6
100138531|이경희|통일한국당|13|20220309|7
100138402|김민찬|한류연합당|14|20220309|3
100138362|윤석열|국민의힘|2|20220309|4
100138383|심상정|정의당|3|20220309|5
100138392|안철수|국민의당|4|20220309|6
100138395|오준호|기본소득당|5|20220309|7
100138378|허경영|국가혁명당|6|20220309|3
100138411|이백윤|노동당|7|20220309|4
100138489|옥은호|새누리당|8|20220309|5
100138373|김동연|새로운물결|9|20220309|6
100153692|이재명|더불어민주당|1|20250603|3
100153710|김문수|국민의힘|2|20250603|4
100153689|이준석|개혁신당|4|20250603|5
100153725|권영국|민주노동당|5|20250603|6
100153735|구주와|자유통일당|6|20250603|7
100153708|황교안|무소속|7|20250603|3
100153722|송진호|무소속|8|20250603|4
