# 평가 정보 데이터
# 형식: 사용자ID|공약ID|평가타입|평가시간
# 평가타입: 1=좋아요, -1=싫어요
admin|100153692_1|1|1750250492
admin|100153689_2|1|1750248975
admin|100153710_2|1|1750188297
admin|100153692_2|1|1750188323
test|100153692_1|1|1750188904
admin|100153710_1|1|1750245471
admin|100153710_3|1|1750245478
admin|100153689_1|1|1750245483
admin|100153689_3|1|1750245491
admin|100153692_3|1|1750250518
admin|100153692_5|1|1750250550
test2|100153710_1|1|1750250600
test3|100153710_1|1|1750250601
test4|100153710_1|1|1750250602
test5|100153710_1|1|1750250603
